trip_distance,tip_percentage
5,9.54
5.01,9.53
5.02,9.45
5.03,9.57
5.04,9.54
5.05,9.51
5.06,9.55
5.07,9.51
5.08,9.46
5.09,9.44
5.1,9.57
5.11,9.54
5.12,9.51
5.13,9.51
5.14,9.6
5.15,9.43
5.16,9.5
5.17,9.47
5.18,9.42
5.19,9.44
5.2,9.56
5.21,9.42
5.22,9.59
5.23,9.49
5.24,9.44
5.25,9.55
5.26,9.49
5.27,9.51
5.28,9.39
5.29,9.39
5.3,9.56
5.31,9.41
5.32,9.51
5.33,9.54
5.34,9.45
5.35,9.48
5.36,9.44
5.37,9.51
5.38,9.46
5.39,9.49
5.4,9.56
5.41,9.47
5.42,9.54
5.43,9.54
5.44,9.46
5.45,9.48
5.46,9.54
5.47,9.45
5.48,9.47
5.49,9.52
5.5,9.55
5.51,9.48
5.52,9.47
5.53,9.51
5.54,9.54
5.55,9.43
5.56,9.5
5.57,9.49
5.58,9.53
5.59,9.39
5.6,9.57
5.61,9.51
5.62,9.52
5.63,9.47
5.64,9.48
5.65,9.42
5.66,9.37
5.67,9.53
5.68,9.52
5.69,9.42
5.7,9.54
5.71,9.49
5.72,9.48
5.73,9.56
5.74,9.49
5.75,9.48
5.76,9.57
5.77,9.6
5.78,9.54
5.79,9.49
5.8,9.6
5.81,9.46
5.82,9.54
5.83,9.4
5.84,9.55
5.85,9.61
5.86,9.44
5.87,9.48
5.88,9.48
5.89,9.61
5.9,9.61
5.91,9.55
5.92,9.48
5.93,9.46
5.94,9.57
5.95,9.47
5.96,9.49
5.97,9.5
5.98,9.58
5.99,9.55
6,9.58
6.01,9.61
6.02,9.59
6.03,9.46
6.04,9.56
6.05,9.49
6.06,9.64
6.07,9.51
6.08,9.38
6.09,9.46
6.1,9.6
6.11,9.56
6.12,9.53
6.13,9.6
6.14,9.54
6.15,9.45
6.16,9.71
6.17,9.68
6.18,9.53
6.19,9.58
6.2,9.59
6.21,9.54
6.22,9.6
6.23,9.53
6.24,9.56
6.25,9.55
6.26,9.51
6.27,9.55
6.28,9.52
6.29,9.51
6.3,9.62
6.31,9.39
6.32,9.64
6.33,9.64
6.34,9.61
6.35,9.46
6.36,9.59
6.37,9.39
6.38,9.41
6.39,9.59
6.4,9.64
6.41,9.63
6.42,9.56
6.43,9.51
6.44,9.45
6.45,9.61
6.46,9.64
6.47,9.46
6.48,9.6
6.49,9.55
6.5,9.62
6.51,9.44
6.52,9.57
6.53,9.48
6.54,9.62
6.55,9.58
6.56,9.59
6.57,9.56
6.58,9.5
6.59,9.5
6.6,9.64
6.61,9.59
6.62,9.36
6.63,9.5
6.64,9.6
6.65,9.46
6.66,9.48
6.67,9.58
6.68,9.64
6.69,9.55
6.7,9.68
6.71,9.61
6.72,9.54
6.73,9.55
6.74,9.46
6.75,9.7
6.76,9.68
6.77,9.63
6.78,9.58
6.79,9.62
6.8,9.69
6.81,9.55
6.82,9.6
6.83,9.66
6.84,9.53
6.85,9.62
6.86,9.67
6.87,9.53
6.88,9.65
6.89,9.67
6.9,9.69
6.91,9.58
6.92,9.65
6.93,9.65
6.94,9.58
6.95,9.68
6.96,9.69
6.97,9.51
6.98,9.63
6.99,9.59
7,9.65
7.01,9.6
7.02,9.64
7.03,9.68
7.04,9.59
7.05,9.59
7.06,9.73
7.07,9.56
7.08,9.54
7.09,9.65
7.1,9.68
7.11,9.7
7.12,9.64
7.13,9.56
7.14,9.61
7.15,9.52
7.16,9.5
7.17,9.66
7.18,9.64
7.19,9.63
7.2,9.71
7.21,9.52
7.22,9.58
7.23,9.59
7.24,9.5
7.25,9.58
7.26,9.62
7.27,9.6
7.28,9.6
7.29,9.58
7.3,9.73
7.31,9.67
7.32,9.56
7.33,9.58
7.34,9.75
7.35,9.61
7.36,9.58
7.37,9.71
7.38,9.62
7.39,9.65
7.4,9.81
7.41,9.61
7.42,9.64
7.43,9.35
7.44,9.54
7.45,9.77
7.46,9.67
7.47,9.62
7.48,9.56
7.49,9.79
7.5,9.79
7.51,9.58
7.52,9.69
7.53,9.54
7.54,9.5
7.55,9.65
7.56,9.54
7.57,9.66
7.58,9.69
7.59,9.73
7.6,9.77
7.61,9.71
7.62,9.77
7.63,9.59
7.64,9.65
7.65,9.51
7.66,9.62
7.67,9.64
7.68,9.57
7.69,9.85
7.7,9.78
7.71,9.63
7.72,9.84
7.73,9.7
7.74,9.47
7.75,9.72
7.76,9.81
7.77,9.66
7.78,9.58
7.79,9.58
7.8,9.81
7.81,9.66
7.82,9.64
7.83,9.7
7.84,9.42
7.85,9.67
7.86,9.6
7.87,9.65
7.88,9.56
7.89,9.65
7.9,9.88
7.91,9.7
7.92,9.61
7.93,9.58
7.94,9.71
7.95,9.59
7.96,9.6
7.97,9.71
7.98,9.72
7.99,9.64
8,9.98
8.01,9.85
8.02,9.66
8.03,9.57
8.04,9.67
8.05,9.86
8.06,9.68
8.07,9.78
8.08,9.83
8.09,9.81
8.1,10.1
8.11,9.72
8.12,9.93
8.13,9.8
8.14,9.94
8.15,9.93
8.16,9.79
8.17,9.93
8.18,9.89
8.19,10
8.2,10.21
8.21,9.84
8.22,9.86
8.23,9.84
8.24,10.06
8.25,9.91
8.26,9.96
8.27,9.82
8.28,9.92
8.29,10
8.3,10.26
8.31,9.99
8.32,9.94
8.33,9.85
8.34,9.86
8.35,10.04
8.36,10.02
8.37,9.87
8.38,10.04
8.39,9.88
8.4,10.3
8.41,9.88
8.42,10.01
8.43,9.84
8.44,10.03
8.45,10.02
8.46,10.03
8.47,10.04
8.48,10.04
8.49,9.97
8.5,10.42
8.51,10.11
8.52,9.93
8.53,10.02
8.54,10.27
8.55,10.03
8.56,10.15
8.57,9.92
8.58,10.02
8.59,10.14
8.6,10.5
8.61,10.18
8.62,10.33
8.63,10.07
8.64,10.07
8.65,10.08
8.66,10.19
8.67,10.14
8.68,10.24
8.69,10.24
8.7,10.57
8.71,10.25
8.72,10.14
8.73,10.21
8.74,10.08
8.75,10.26
8.76,10.23
8.77,10.24
8.78,10.11
8.79,10.12
8.8,10.48
8.81,10.01
8.82,10.16
8.83,10.3
8.84,10.23
8.85,10.07
8.86,10.04
8.87,10.09
8.88,10.14
8.89,10.11
8.9,10.57
8.91,10.13
8.92,10.2
8.93,10.03
8.94,10.09
8.95,10.2
8.96,10.07
8.97,10.17
8.98,10.22
8.99,10.22
9,10.56
9.01,10.13
9.02,10.18
9.03,10.19
9.04,10.26
9.05,10.34
9.06,10.26
9.07,10.27
9.08,10.15
9.09,10.2
9.1,10.65
9.11,10.28
9.12,10.12
9.13,10.31
9.14,10.21
9.15,10.15
9.16,10.29
9.17,10.15
9.18,10.3
9.19,10.15
9.2,10.65
9.21,10.08
9.22,10.13
9.23,10.3
9.24,10.19
9.25,10.23
9.26,10.29
9.27,10.28
9.28,10.32
9.29,10.26
9.3,10.68
9.31,10.19
9.32,10.17
9.33,10.22
9.34,10.21
9.35,10.18
9.36,10.26
9.37,10.32
9.38,10.19
9.39,10.29
9.4,10.68
9.41,10.27
9.42,10.17
9.43,10.18
9.44,10.35
