name,color
Lower East Side,#4292c6
Financial District,#4292c6
Garment District,#4292c6
West Village,#4292c6
Morningside Heights,#4292c6
Central Park,#4292c6
Upper West Side,#4292c6
East Harlem,#4292c6
Hamilton Heights,#4292c6
Greenwich Village,#4292c6
Gramercy,#4292c6
Fort Green,#ffa24c
Carroll Gardens,#4292c6
Upper East Side,#4292c6
Downtown,#ffa24c
Park Slope,#ffa24c
Chelsea,#4292c6
Williamsburg,#ffa24c
Tribeca,#4292c6
Chinatown,#4292c6
Midtown,#4292c6
Sunny Side,#fc81bc
Soho,#4292c6
North Sutton Area,#4292c6
Little Italy,#4292c6
Harlem,#4292c6
Washington Heights,#4292c6
Carnegie Hill,#4292c6
Murray Hill,#4292c6
Clinton,#4292c6
Yorkville,#4292c6
Astoria-Long Island City,#fc81bc
East Village,#4292c6
Battery Park,#4292c6
