tip,lowPrecipitation, highPrecipitation
0,0.00099887,0.000974234
0.01,0.000891242,0.00087755
0.02,0.000645426,0.000633067
0.03,0.001134381,0.00113558
0.04,0.00301478,0.003224456
0.05,0.006824885,0.007287048
0.06,0.012648206,0.013144768
0.07,0.018056275,0.01859666
0.08,0.026836384,0.026839467
0.09,0.032045135,0.032589418
0.1,0.036342938,0.036419228
0.11,0.040910805,0.040471352
0.12,0.049774113,0.048931545
0.13,0.02805076,0.027989211
0.14,0.033457474,0.033976254
0.15,0.052652491,0.052545817
0.16,0.207652748,0.205295472
0.17,0.251981215,0.242925411
0.18,0.012327186,0.012979111
0.19,0.045765385,0.047664179
0.2,0.072576992,0.075315918
0.21,0.006593456,0.007007464
0.22,0.018627521,0.020073406
0.23,0.025961627,0.02804094
0.24,0.00214009,0.002212041
0.25,0.002499563,0.002561829
0.26,0.000765427,0.000855996
0.27,0.00151873,0.001570352
0.28,0.000407754,0.000443393
0.29,0.001340124,0.001384989
0.3,0.000661514,0.000751921
>0.3,0.004896501,0.005281924
