tip,lowTempature,midTempature,highTempature
0,0.000911865,0.001045779,0.001046903
0.01,0.000811928,0.000950176,0.000909223
0.02,0.000618119,0.000677057,0.000648567
0.03,0.00103668,0.001179479,0.001146621
0.04,0.002804587,0.003139139,0.003034308
0.05,0.006248096,0.007182972,0.007029436
0.06,0.0119778,0.013016965,0.012699716
0.07,0.017336925,0.018491961,0.018056407
0.08,0.026001363,0.027284424,0.026730251
0.09,0.031081587,0.032594378,0.031856761
0.1,0.035640282,0.036694141,0.036252365
0.11,0.040372507,0.041098411,0.040678712
0.12,0.050275169,0.049588799,0.049152319
0.13,0.028371813,0.027941667,0.02770925
0.14,0.033230317,0.033898507,0.035258662
0.15,0.056695122,0.051516216,0.054767527
0.16,0.205060278,0.206746107,0.209977073
0.17,0.244639777,0.256422404,0.249807248
0.18,0.013666887,0.011971951,0.012779116
0.19,0.048608244,0.044072688,0.045974181
0.2,0.073366782,0.071660988,0.069991199
0.21,0.007464368,0.006213387,0.006689915
0.22,0.020454283,0.017711331,0.018738391
0.23,0.02718387,0.025371643,0.024924637
0.24,0.002382263,0.002002125,0.002085786
0.25,0.002882675,0.00233257,0.002433595
0.26,0.000821859,0.000754512,0.000762721
0.27,0.00178871,0.00141914,0.001500044
0.28,0.000440618,0.000399434,0.000407426
0.29,0.001552354,0.001253197,0.001338571
0.3,0.000739799,0.000643103,0.000640279
>0.3,0.005533072,0.004725348,0.00497279
